Correlation Table - 50 periods
https://www.mataf.net
Fri, 16 Jan 2026 16:25:36 +0000
pair1,pair2,5min,15min,1h,4h,day,week
EURUSD,EURUSD,100,100,100,100,100,0
EURUSD,NZDUSD,85.2,75.8,-12.6,67.7,86.9,0
EURUSD,GBPUSD,93.3,80,96.3,92.6,85.2,0
EURUSD,AUDUSD,78.4,53,-59.4,67,74.8,0
EURUSD,CADJPY,35.6,3.6,21.5,-38.6,67.7,0
EURUSD,NZDJPY,52.4,31.3,-29.3,-30.9,67.6,0
EURUSD,EURJPY,78.2,38.4,71.3,-23.8,63.5,0
EURUSD,CHFJPY,80.4,40.8,80.5,-10.7,59.2,0
EURUSD,GBPJPY,62.7,44.2,78.4,-20.1,56.3,0
EURUSD,AUDJPY,55.6,23,-51.5,-35.3,52.1,0
EURUSD,CADCHF,-30.6,-28.7,-83.1,-65.8,42.4,0
EURUSD,NZDCHF,3.3,12.5,-81.5,-47.2,36.1,0
EURUSD,GBPCHF,8.3,22.5,27.3,-44.8,29.3,0
EURUSD,AUDCHF,30.4,11.1,-86.1,-49.3,29.1,0
EURUSD,NZDCAD,64.9,53.4,-40.4,10.3,12.3,0
EURUSD,AUDCAD,73.5,43.7,-75.4,3.7,6.3,0
EURUSD,EURCHF,52.6,19.4,-30.5,-60.6,0.9,0
EURUSD,AUDNZD,55.6,7.8,-54.8,-9.3,-2.9,0
EURUSD,GBPCAD,44.2,39.1,85.4,45.4,-8.4,0
EURUSD,USDJPY,-24.2,-33.5,-6.9,-61.9,-16,0
EURUSD,GBPNZD,2.4,0.1,81.6,24.9,-19.6,0
EURUSD,GBPAUD,-36.8,-4.9,89.1,28.7,-20,0
EURUSD,EURAUD,-21.1,-7.9,88.4,23,-33.7,0
EURUSD,EURGBP,40.4,-5.7,-57.3,-10.4,-37.3,0
EURUSD,EURNZD,29.4,-4.6,76.9,16.6,-49.7,0
EURUSD,EURCAD,63.8,53.3,89,36.6,-62.5,0
EURUSD,USDCHF,-94.1,-84.9,-94.8,-96.6,-87,0
EURUSD,USDCAD,-74.8,-57.8,-55.3,-78.4,-94.4,0
NZDUSD,EURUSD,85.2,75.8,-12.6,67.7,86.9,0
NZDUSD,NZDUSD,100,100,100,100,100,0
NZDUSD,GBPUSD,86.1,76.5,-9.3,78.2,88.1,0
NZDUSD,AUDUSD,95.5,81.4,56.3,89.2,85.8,0
NZDUSD,CADJPY,70.9,27.7,-62.9,-28.9,69.2,0
NZDUSD,NZDJPY,84.9,66.8,38.6,-1.3,84.9,0
NZDUSD,EURJPY,89.9,44.1,-62,-31.7,62.2,0
NZDUSD,CHFJPY,83.6,40.6,-54.4,-16,46.9,0
NZDUSD,GBPJPY,81.5,65.2,-53.7,-19.3,64,0
NZDUSD,AUDJPY,84.4,54.5,-6.5,-11.7,65.5,0
NZDUSD,CADCHF,17.9,7.9,9.5,-30.9,64.3,0
NZDUSD,NZDCHF,53.8,67,62.9,28.6,74.2,0
NZDUSD,GBPCHF,42.4,63,-22,-23.4,59,0
NZDUSD,AUDCHF,70.4,52.5,30.6,6.3,61.2,0
NZDUSD,NZDCAD,68.5,74.5,88,62.5,51.4,0
NZDUSD,AUDCAD,89,78.1,43.4,38.7,34.2,0
NZDUSD,EURCHF,81.6,33.6,-27.3,-73.7,28.4,0
NZDUSD,AUDNZD,73.5,28.9,-35.7,-34.2,-3.8,0
NZDUSD,GBPCAD,13.2,25.4,-17.4,19.4,10.1,0
NZDUSD,USDJPY,15.5,-10.2,-74.6,-54.3,-5,0
NZDUSD,GBPNZD,-39.3,-40.7,-63.8,-46.6,-41.8,0
NZDUSD,GBPAUD,-71.9,-37.8,-34.3,-19.9,-46,0
NZDUSD,EURAUD,-63.4,-54.5,-39.3,-41.9,-59,0
NZDUSD,EURGBP,17.3,-30.7,-1.6,-48.2,-57.5,0
NZDUSD,EURNZD,-24.9,-68.7,-73,-61.4,-86.1,0
NZDUSD,EURCAD,22,10.4,-25.1,-13,-70.1,0
NZDUSD,USDCHF,-65.8,-54,1.9,-76,-61.9,0
NZDUSD,USDCAD,-91.9,-72.8,-24.4,-78.4,-88.9,0
GBPUSD,EURUSD,93.3,80,96.3,92.6,85.2,0
GBPUSD,NZDUSD,86.1,76.5,-9.3,78.2,88.1,0
GBPUSD,GBPUSD,100,100,100,100,100,0
GBPUSD,AUDUSD,82.3,42,-58.8,71.5,95.4,0
GBPUSD,CADJPY,43.8,-20.8,13.5,-20.4,86,0
GBPUSD,NZDJPY,61.7,18.4,-29.6,-10.3,89.6,0
GBPUSD,EURJPY,82.5,6.6,65.9,-13.3,83.3,0
GBPUSD,CHFJPY,82,17.3,77,2,74,0
GBPUSD,GBPJPY,78.3,45,79.2,-2.5,87.3,0
GBPUSD,AUDJPY,64.6,6.5,-53.6,-17.8,85,0
GBPUSD,CADCHF,-20.1,-46.4,-86.3,-53.2,55.7,0
GBPUSD,NZDCHF,17.2,12.7,-78.5,-27.3,52.5,0
GBPUSD,GBPCHF,38.6,59.7,40.6,-18.6,67.7,0
GBPUSD,AUDCHF,42.8,0.2,-85.2,-39.1,67.4,0
GBPUSD,NZDCAD,71.6,78,-32.4,20.6,24.6,0
GBPUSD,AUDCAD,82.6,42.4,-71.2,3.9,50.6,0
GBPUSD,EURCHF,62.4,-16.6,-36.9,-67.2,9.9,0
GBPUSD,AUDNZD,63,-11.7,-57.7,-23.2,35.2,0
GBPUSD,GBPCAD,56.4,75.6,93.6,50.5,35,0
GBPUSD,USDJPY,-8,-51.6,-10.7,-50.2,23.5,0
GBPUSD,GBPNZD,12.9,27.6,82.6,18.6,6.2,0
GBPUSD,GBPAUD,-36.3,20.2,91.1,32.1,-45.8,0
GBPUSD,EURAUD,-33.8,-5.7,86.1,9,-73.6,0
GBPUSD,EURGBP,4.9,-64.4,-77.2,-47.1,-80.3,0
GBPUSD,EURNZD,15.5,-27.9,72.3,-5.4,-67,0
GBPUSD,EURCAD,56.8,55.4,90,17.2,-74.2,0
GBPUSD,USDCHF,-82.7,-84.9,-93.8,-93.2,-69.5,0
GBPUSD,USDCAD,-72.6,-33.9,-45.6,-83.7,-89.4,0
AUDUSD,EURUSD,78.4,53,-59.4,67,74.8,0
AUDUSD,NZDUSD,95.5,81.4,56.3,89.2,85.8,0
AUDUSD,GBPUSD,82.3,42,-58.8,71.5,95.4,0
AUDUSD,AUDUSD,100,100,100,100,100,0
AUDUSD,CADJPY,81.7,70.6,-12,-38.1,85.5,0
AUDUSD,NZDJPY,89.8,89,70.8,-16.1,91.5,0
AUDUSD,EURJPY,93.6,75,-50.9,-40.1,81,0
AUDUSD,CHFJPY,86.2,64.5,-63.2,-28.4,70.8,0
AUDUSD,GBPJPY,88.3,81.3,-55.3,-30.7,87.6,0
AUDUSD,AUDJPY,93.7,90.3,73.4,-13.1,91.7,0
AUDUSD,CADCHF,30.9,53.6,69.4,-23.7,59.8,0
AUDUSD,NZDCHF,59.5,81,84.5,20.9,58.7,0
AUDUSD,GBPCHF,52.1,57.7,-1.2,-25.4,72.2,0
AUDUSD,AUDCHF,82.5,88.7,89.5,26.6,80.8,0
AUDUSD,NZDCAD,54.6,31.4,58.8,46.7,30.2,0
AUDUSD,AUDCAD,95.2,95.7,92.6,57.2,66.5,0
AUDUSD,EURCHF,87.2,67.1,40.4,-60,12.8,0
AUDUSD,AUDNZD,90.2,79,57.1,12,48,0
AUDUSD,GBPCAD,5.3,-20.6,-63.2,9,36.7,0
AUDUSD,USDJPY,31.2,37.8,-8.1,-60.9,30.8,0
AUDUSD,GBPNZD,-37.2,-61.8,-77.5,-39,2.2,0
AUDUSD,GBPAUD,-82.8,-80.3,-86.9,-43.2,-70.3,0
AUDUSD,EURAUD,-77.2,-88.7,-90.1,-56.8,-87.7,0
AUDUSD,EURGBP,7.8,-2.1,38.9,-31.9,-84.1,0
AUDUSD,EURNZD,-29.3,-65.8,-77.4,-47.6,-73.7,0
